 ,Area,Angle,Length,,,Length,Width,Area,,Length,Width,Area
1,1.557,-82.06,22.99,,,22.99,16.914,281.027,,22.99,16.914,281.027
2,1.146,2.977,16.914,,,,,,,12.216,10.958,100.689
3,281.027,0,0,,,,,,,15.743,13.344,164.396
4,0.831,-95.395,12.216,,,12.216,10.958,100.689,,10.605,10.075,79.959
5,0.744,-11.379,10.958,,,,,,,18.69,17.239,239.685
6,100.689,0,0,,,,,,,11.65,8.411,80.457
7,1.068,-100.635,15.743,,,15.743,13.344,164.396,,11.719,9.365,84.857
8,0.904,-4.065,13.344,,,,,,,14.89,10.996,116.257
9,164.396,0,0,,,,,,,10.297,9.612,73.709
10,0.721,-77.115,10.605,,,10.605,10.075,79.959,,16.693,13.149,161.388
11,0.685,21.231,10.075,,,,,,,22.234,18.242,317.165
12,79.959,0,0,,,,,,,13.246,12.304,124.415
13,1.269,-82.104,18.69,,,18.69,17.239,239.685,,16.626,11.559,138.804
14,1.169,7.431,17.239,,,,,,,12.462,10.173,97.033
15,239.685,0,0,,,,,,,14.607,11.544,125.127
16,0.79,-52.067,11.65,,,11.65,8.411,80.457,,14.265,10.814,107.158
17,0.571,43.698,8.411,,,,,,,11.574,11.625,99.101
18,80.457,0,0,,,,,,,13.674,11.134,113.066
19,0.794,-80.375,11.719,,,11.719,9.365,84.857,,15.572,12.694,142.082
20,0.639,8.715,9.365,,,,,,,11.793,11.954,99.356
21,84.857,0,0,,,,,,,14.557,11.78,130.176
22,1.009,-80.73,14.89,,,14.89,10.996,116.257,,27.259,18.608,383.812
23,0.749,3.17,10.996,,,,,,,13.384,9.733,93.289
24,116.257,0,0,,,,,,,13.211,13.608,134.216
25,0.698,-83.217,10.297,,,10.297,9.612,73.709,,18.96,14.849,203.643
26,0.653,5.243,9.612,,,,,,,10.701,11.652,94.791
27,73.709,0,0,,,,,,,17.735,13.766,201.945
28,1.132,-91.276,16.693,,,16.693,13.149,161.388,,14.702,13.228,146.003
29,0.895,1.914,13.149,,,,,,,11.013,10.153,80.534
30,161.388,0,0,,,,,,,19.526,16.708,228.61
31,1.507,-88.781,22.234,,,22.234,18.242,317.165,,15.717,12.931,157.234
32,1.237,4.887,18.242,,,,,,,12.95,11.907,115.316
33,317.165,0,0,,,,,,,9.854,9.872,68.012
34,0.899,-91.169,13.246,,,13.246,12.304,124.415,,13.586,10.854,116.608
35,0.835,-1.888,12.304,,,,,,,20.086,13.792,196.932
36,124.415,0,0,,,,,,,13.309,10.986,96.266
37,1.128,-70.534,16.626,,,16.626,11.559,138.804,,13.069,11.286,101.365
38,0.785,18.753,11.559,,,,,,,15.504,12.46,142.862
39,138.804,0,0,,,,,,,12.825,10.808,106.962
40,0.845,-82.836,12.462,,,12.462,10.173,97.033,,21.409,14.51,241.269
41,0.694,4.953,10.173,,,,,,,12.477,10.392,96.024
42,97.033,0,0,,,,,,,15.918,12.169,174.216
43,0.991,-92.386,14.607,,,14.607,11.544,125.127,,19.208,15.102,214.732
44,0.785,-5.711,11.544,,,,,,,12.962,10.787,95.49
45,125.127,0,0,,,,,,,19.263,15.256,207.021
46,0.968,-74.055,14.265,,,14.265,10.814,107.158,,14.189,11.556,122.132
47,0.735,17.076,10.814,,,,,,,17.094,14.994,193.896
48,107.158,0,0,,,,,,,15.047,12.378,127.596
49,0.785,-80.593,11.574,,,11.574,11.625,99.101,,18.85,13.296,185.684
50,0.79,6.34,11.625,,,,,,,,,
51,99.101,0,0,,,,,,,,,
52,0.927,-71.565,13.674,,,13.674,11.134,113.066,,,,
53,0.758,23.609,11.134,,,,,,,,,
54,113.066,0,0,,,,,,,,,
55,1.055,-68.891,15.572,,,15.572,12.694,142.082,,,,
56,0.863,19.592,12.694,,,,,,,,,
57,142.082,0,0,,,,,,,,,
58,0.803,-101.567,11.793,,,11.793,11.954,99.356,,,,
59,0.813,-16.079,11.954,,,,,,,,,
60,99.356,0,0,,,,,,,,,
61,0.986,-83.337,14.557,,,14.557,11.78,130.176,,,,
62,0.799,3.617,11.78,,,,,,,,,
63,130.176,0,0,,,,,,,,,
64,1.844,-110.456,27.259,,,27.259,18.608,383.812,,,,
65,1.26,-21.067,18.608,,,,,,,,,
66,383.812,0,0,,,,,,,,,
67,0.908,-88.264,13.384,,,13.384,9.733,93.289,,,,
68,0.662,1.591,9.733,,,,,,,,,
69,93.289,0,0,,,,,,,,,
70,0.899,-79.092,13.211,,,13.211,13.608,134.216,,,,
71,0.922,8.854,13.608,,,,,,,,,
72,134.216,0,0,,,,,,,,,
73,1.287,-75.766,18.96,,,18.96,14.849,203.643,,,,
74,1.009,13.151,14.849,,,,,,,,,
75,203.643,0,0,,,,,,,,,
76,0.726,-76.49,10.701,,,10.701,11.652,94.791,,,,
77,0.79,9.681,11.652,,,,,,,,,
78,94.791,0,0,,,,,,,,,
79,1.201,-77.234,17.735,,,17.735,13.766,201.945,,,,
80,0.936,13.627,13.766,,,,,,,,,
81,201.945,0,0,,,,,,,,,
82,1,-66.144,14.702,,,14.702,13.228,146.003,,,,
83,0.899,23.16,13.228,,,,,,,,,
84,146.003,0,0,,,,,,,,,
85,0.749,-83.66,11.013,,,11.013,10.153,80.534,,,,
86,0.689,3.434,10.153,,,,,,,,,
87,80.534,0,0,,,,,,,,,
88,1.324,-94.764,19.526,,,19.526,16.708,228.61,,,,
89,1.132,-2.781,16.708,,,,,,,,,
90,228.61,0,0,,,,,,,,,
91,1.068,-94.191,15.717,,,15.717,12.931,157.234,,,,
92,0.877,-3.595,12.931,,,,,,,,,
93,157.234,0,0,,,,,,,,,
94,0.881,-85.212,12.95,,,12.95,11.907,115.316,,,,
95,0.808,2.927,11.907,,,,,,,,,
96,115.316,0,0,,,,,,,,,
97,0.671,-69.95,9.854,,,9.854,9.872,68.012,,,,
98,0.671,19.179,9.872,,,,,,,,,
99,68.012,0,0,,,,,,,,,
100,0.922,-56.152,13.586,,,13.586,10.854,116.608,,,,
101,0.74,42.73,10.854,,,,,,,,,
102,116.608,0,0,,,,,,,,,
103,1.36,-87.494,20.086,,,20.086,13.792,196.932,,,,
104,0.936,1.965,13.792,,,,,,,,,
105,196.932,0,0,,,,,,,,,
106,0.904,-77.093,13.309,,,13.309,10.986,96.266,,,,
107,0.749,12.07,10.986,,,,,,,,,
108,96.266,0,0,,,,,,,,,
109,0.886,-64.097,13.069,,,13.069,11.286,101.365,,,,
110,0.767,26.488,11.286,,,,,,,,,
111,101.365,0,0,,,,,,,,,
112,1.05,-84.749,15.504,,,15.504,12.46,142.862,,,,
113,0.845,8.262,12.46,,,,,,,,,
114,142.862,0,0,,,,,,,,,
115,0.872,-77.062,12.825,,,12.825,10.808,106.962,,,,
116,0.735,8.991,10.808,,,,,,,,,
117,106.962,0,0,,,,,,,,,
118,1.452,-87.287,21.409,,,21.409,14.51,241.269,,,,
119,0.986,4.808,14.51,,,,,,,,,
120,241.269,0,0,,,,,,,,,
121,0.849,-79.39,12.477,,,12.477,10.392,96.024,,,,
122,0.708,9.922,10.392,,,,,,,,,
123,96.024,0,0,,,,,,,,,
124,1.082,-77.498,15.918,,,15.918,12.169,174.216,,,,
125,0.826,37.443,12.169,,,,,,,,,
126,174.216,0,0,,,,,,,,,
127,1.301,-97.275,19.208,,,19.208,15.102,214.732,,,,
128,1.027,-6.68,15.102,,,,,,,,,
129,214.732,0,0,,,,,,,,,
130,0.881,-95.384,12.962,,,12.962,10.787,95.49,,,,
131,0.735,-10.465,10.787,,,,,,,,,
132,95.49,0,0,,,,,,,,,
133,1.306,-95.031,19.263,,,19.263,15.256,207.021,,,,
134,1.036,-4.827,15.256,,,,,,,,,
135,207.021,0,0,,,,,,,,,
136,0.963,-89.727,14.189,,,14.189,11.556,122.132,,,,
137,0.785,-1.173,11.556,,,,,,,,,
138,122.132,0,0,,,,,,,,,
139,1.16,-84.898,17.094,,,17.094,14.994,193.896,,,,
140,1.018,10.778,14.994,,,,,,,,,
141,193.896,0,0,,,,,,,,,
142,1.023,-73.03,15.047,,,15.047,12.378,127.596,,,,
143,0.84,25.026,12.378,,,,,,,,,
144,127.596,0,0,,,,,,,,,
145,1.278,-86.609,18.85,,,18.85,13.296,185.684,,,,
146,0.904,7.739,13.296,,,,,,,,,
147,185.684,0,0,,,,,,,,,
